,exch.binance.flow.in.ntv,exch.binance.flow.out.ntv,exch.bitfinex.flow.in.ntv,exch.bitfinex.flow.out.ntv,exch.bitmex.flow.in.ntv,exch.bitmex.flow.out.ntv,exch.bitstamp.flow.in.ntv,exch.bitstamp.flow.out.ntv,exch.bittrex.flow.in.ntv,exch.bittrex.flow.out.ntv,exch.gemini.flow.in.ntv,exch.gemini.flow.out.ntv,exch.huobi.flow.in.ntv,exch.huobi.flow.out.ntv,exch.kraken.flow.in.ntv,exch.kraken.flow.out.ntv,exch.poloniex.flow.in.ntv,exch.poloniex.flow.out.ntv,close,high,low,high-low,volume
816,0.03475870526787784,0.031747387486386655,0.015308974813425896,0.012532210130734026,0.007390174731139347,0.007274850050640239,0.026330451326278724,0.01755994208983353,0.008564419580185875,0.011490384785058755,0.011572406021618013,0.011845796636556353,0.023301460766115997,0.019163441236873583,0.018824377713948043,0.016217289616061604,0.013295629951052277,0.015200879760302708,6583.53,6717.6,6557.82,159.78000000000065,920610.0
817,0.04038516951355551,0.0412084026121046,0.017698637957551694,0.023760796318957958,0.019428704900904994,0.01726072148505335,0.025665418207676222,0.03354045793864959,0.012239196144626657,0.01266653323772389,0.0172400161601887,0.03679870416212852,0.030735823661537542,0.04475182130909454,0.016619264664342045,0.01883413331224545,0.011985981776799368,0.024574176700496792,6437.74,6583.54,6333.21,250.32999999999993,1040000.0
818,0.03191573426815572,0.03672916703891468,0.02312065768738554,0.020706147158884015,0.010802794033598226,0.02329285958074456,0.027012226602183765,0.03432497178468199,0.009101379761299782,0.013836333649699667,0.031220939168479126,0.03026225296210297,0.036178409171097846,0.029591928052682095,0.01820719851797988,0.017458193406436878,0.02424318263849322,0.017898733949402792,6462.6,6543.92,6383.16,160.76000000000022,722230.0
819,0.037481096154927784,0.03563103526169077,0.0226755844241003,0.021347037675567525,0.013183761466439134,0.017938235303576508,0.021685288260197014,0.024523593633462543,0.011216729905403641,0.011122084569857965,0.03303670879879911,0.025926241215824177,0.026338109190760645,0.03428134155548592,0.01897463176744865,0.018968637897424583,0.015761792247414565,0.012249999464415112,6686.13,6733.94,6434.76,299.1799999999994,623640.0
820,0.03581556502631385,0.04161349992879188,0.033468294532013824,0.01733642844740985,0.0184549400864466,0.015316960009743492,0.022533063391536056,0.0340687955233212,0.021953389004576072,0.015172505805632341,0.02995299462427316,0.07835500369600497,0.037906434172001506,0.03362375256554091,0.01840824226806698,0.02088005310187624,0.021296635237166003,0.02310957024276722,6635.38,6806.1,6545.41,260.6900000000005,697420.0
821,0.03443344482504307,0.02725455881939612,0.01169826769278419,0.023549888213947892,0.010745517159840259,0.01321192461638439,0.019107273475304786,0.014176500441923715,0.010951365663816926,0.007594817821818073,0.004257537097409728,0.010125380158659792,0.02649085944102356,0.02742339703500122,0.00609464641523706,0.006975141899455537,0.007826000597953653,0.016689131510516795,6603.75,6635.42,6474.23,161.1900000000005,775820.0
822,0.026364245004587516,0.029687349208283396,0.005146447989286396,0.006104392695852665,0.009735818415232186,0.005137990060894815,0.019009024212247136,0.010967926878024763,0.00993169547433264,0.006646511015773805,0.006654097822507851,0.0042348812184032645,0.021905397635177196,0.02190501793428457,0.0057284588170080815,0.006874779070680795,0.007698390547860908,0.011822721680443935,6623.71,6741.96,6543.68,198.27999999999975,681410.0
823,0.03670047773537638,0.03810919015161741,0.018772067943240416,0.018019481015365182,0.00790531211123186,0.015211235885334589,0.03127057904868801,0.043762153734936256,0.015879973248910932,0.01346526689889058,0.022741710446869928,0.006699544830734024,0.020885377926185975,0.019811343378362045,0.014584930430758723,0.018431471056340413,0.014949163073665494,0.011887751902813269,6594.98,6662.6,6510.54,152.0600000000004,833130.0
824,0.04635885886191262,0.039985733132929746,0.014739848702129524,0.019633010472592635,0.00943350351630023,0.011382887260900114,0.021755674818092232,0.02286450706647784,0.01133176868463702,0.01090287213824603,0.017341714323638936,0.034701494482465955,0.02308666722402528,0.018337389687566433,0.019600701656519778,0.021697762359411458,0.016241387248594846,0.01803262480467908,6525.47,6618.95,6478.04,140.90999999999985,1030000.0
825,0.034587611001681194,0.03833041732425117,0.014795222801204055,0.0311747837139548,0.012453983838400871,0.008095183672887835,0.035354509778076894,0.03308962700490659,0.011365013743148557,0.012950639512766838,0.028917402691188893,0.009373227674725699,0.02228686668201373,0.021511060484391043,0.02347278967727951,0.01688482304336332,0.01805780406343934,0.01829292382687948,6492.26,6537.07,6428.98,108.09000000000015,955360.0
