,exch.binance.flow.in.ntv,exch.binance.flow.out.ntv,exch.bitfinex.flow.in.ntv,exch.bitfinex.flow.out.ntv,exch.bitstamp.flow.in.ntv,exch.bitstamp.flow.out.ntv,exch.bittrex.flow.in.ntv,exch.bittrex.flow.out.ntv,exch.gemini.flow.in.ntv,exch.gemini.flow.out.ntv,exch.huobi.flow.in.ntv,exch.huobi.flow.out.ntv,exch.kraken.flow.in.ntv,exch.kraken.flow.out.ntv,exch.poloniex.flow.in.ntv,exch.poloniex.flow.out.ntv,close,high,low,high-low,volume
503,2.3328617328566783,2.5513630872727977,0.03813451809238151,0.0360391397930689,0.07780774669943495,0.05836598164840185,0.07239125010814594,0.07163554765002215,0.05263203414966478,0.04706432561458506,0.0,0.0,0.002981390692390361,0.013948137966148907,0.009397374262140244,0.01309940311176801,331.2,345.18,324.88,20.30000000000001,53510000.0
504,3.5586265656273626,3.708554565704942,0.03260572682769124,0.03997415536731788,0.10540563715682201,0.08578047970367675,0.07231832430206231,0.07818798589884816,0.01105627535884654,0.01737526968256786,0.0,0.0,0.006890406671630584,0.009898345997979693,0.009402944967310655,0.01999562067752754,330.32,334.85,321.9,12.950000000000045,21260000.0
505,2.8923925097920753,2.7060047764591046,0.026169543154731162,0.030070207827043727,0.07531025857373636,0.04464217544481888,0.07544429249893073,0.07730069463130948,0.012622118939629659,0.012043881060333217,0.0,0.0,0.004311713239963945,0.011997591050767777,0.010001330513713557,0.01191257889631167,331.72,334.55,325.83,8.720000000000027,21870000.0
506,1.515772584190643,1.2143972507719356,0.03386442139186206,0.018861393154234914,0.0466072148252138,0.09308887532768247,0.07142639234592177,0.05493835661335346,0.007738472128144012,0.012761899944230569,0.0,0.0,0.00544840904694692,0.006854021625824181,0.005153482986329995,0.009223053745349612,346.65,349.46,326.83,22.629999999999995,30270000.0
507,1.0428625714147401,1.4115861453304854,0.03326717695213427,0.0464165047044481,0.09783711246873088,0.07092652217616233,0.0995495278794555,0.06713314062361424,0.011688023150468801,0.012021404424157,0.0,0.0,0.007915014310799174,0.01880694183651303,0.008364763393194525,0.01073588427556866,354.6,371.32,343.89,27.430000000000007,24760000.0
508,2.631715755173005,2.897622093468539,0.05387840574327854,0.07358170229236827,0.10232295281287292,0.044277322404545495,0.07584560458697837,0.08956586526248059,0.014728513512250477,0.009198432603179624,0.0,0.0,0.012091859322414696,0.01177313562418248,0.008467086820169833,0.016889488055822226,367.71,372.82,354.28,18.54000000000002,16900000.0
509,3.451439413296051,3.48547420573593,0.027255271591721662,0.05703477692440653,0.10150716804137065,0.05974193507052603,0.09892918765694006,0.10923617538844958,0.03408713600055417,0.03004376929158467,0.0,0.0,0.006425570176142343,0.012822886763133293,0.007118345759556617,0.017049940275954214,360.52,372.87,351.41,21.45999999999998,17740000.0
510,6.35759795598063,7.165501107671866,0.021039981787361137,0.04336040962948535,0.0774071455654471,0.03460847576491694,0.07928158601608339,0.07962113790523963,0.019493269843309596,0.0180369841516369,0.0,0.0,0.004275023417378,0.010267134789904027,0.017323531055562356,0.009422019690350461,380.84,381.61,359.97,21.639999999999986,17820000.0
511,6.758050757252486,6.638737301190604,0.06325015815569883,0.04752797333903484,0.19112398414162135,0.10549667165851213,0.13527192200163346,0.10164528417918381,0.02347469759571034,0.020978194409051396,0.0,0.0,0.01569357837488875,0.02378623451955125,0.024101601819107143,0.01565947558164921,406.57,424.92,375.44,49.48000000000002,14650000.0
512,3.453731595146058,2.9098509755999253,0.049186690642647024,0.03633392697039542,0.10790395499604648,0.09387270606209318,0.14237433295623417,0.11648219114469421,0.03364804940026661,0.03575603396380522,0.0,0.0,0.010860997216246001,0.01730844799383342,0.015370487527177954,0.016777351351755676,470.43,478.38,400.18,78.19999999999999,18480000.0
513,2.302394080427398,2.4688198839210322,0.0420882482703669,0.05408924913299822,0.059432051047208466,0.07167118361323255,0.08069350193842285,0.08799835335948351,0.01705531522565479,0.030586945521441453,0.0,0.0,0.009791081868278383,0.009142835608575988,0.01140667053263082,0.01056306918540395,464.61,483.38,457.41,25.96999999999997,18120000.0
514,1.793244025667613,1.494541618955886,0.029127783888839465,0.04231356574387473,0.03708690823057639,0.050875331956779325,0.07200756153398744,0.06599057584430454,0.013520589229717616,0.014081518712767895,0.0,0.0,0.006324915211467528,0.01109725921382154,0.005925503639764991,0.011660896416186714,470.54,471.5,451.12,20.379999999999995,17170000.0
515,2.999242386570723,3.5209461214006295,0.023379755839173615,0.036795798467409845,0.2084955752756135,0.057915788888872485,0.07470794531939566,0.07971289363138503,0.03762766429500528,0.02951313784696302,0.0,0.0,0.009829558996760072,0.020503384639103218,0.01021403453171928,0.016419587174149146,475.24,489.43,462.47,26.95999999999998,16340000.0
516,2.875757204857184,2.486860477870937,0.04552789053541297,0.037139716428954285,0.07700049432018959,0.06085999729109894,0.12053227529325354,0.12088227638493132,0.02684377961470369,0.05217152986767302,0.0,0.0,0.009464743490860813,0.021920302415938342,0.0101574459192916,0.01702559052749891,466.27,478.46,459.91,18.549999999999955,24110000.0
517,4.841085221874303,6.119050761401481,0.07577467475190143,0.055535965546851376,0.08191923407148034,0.09073047752711902,0.14445518893522227,0.12912110843104452,0.037254434577186434,0.04243440173018595,0.0,0.0,0.012163119307184979,0.023924667944401533,0.021098024907046847,0.020863676465945214,427.42,515.44,409.35,106.09000000000003,28830000.0
518,2.566389053843228,2.0401648174333213,0.036284577032464675,0.054303917949703365,0.06766898460000068,0.0717893666145764,0.0862499687684484,0.08085451375761434,0.048998468075668135,0.03732098237253507,0.0,0.0,0.008558872712672357,0.015367324586229204,0.011541869293926204,0.017170189659916797,434.85,460.81,396.14,64.67000000000002,29550000.0
519,2.0041534137044574,2.242468210361832,0.026665853955236164,0.044617543879670124,0.04660496700029319,0.03997319558709785,0.053510825728908765,0.06456102973744196,0.02935908695270583,0.03396798920141902,0.0,0.0,0.009446670427767135,0.011964681708481301,0.008147497399568987,0.015526920139019944,461.58,467.22,416.77,50.450000000000045,20310000.0
